word,profane,offensive,sexual,mean
clitic                  ,  0,  0, -2,  0
closer                  ,  0,  0,  0, -1
cluppe                  ,  0,  0, -1,  0
coarse                  , -1,  0,  0,  0
cobbra                  ,  0,  0, -1,  0
cockal                  , -1,  0, -1,  0
cocked                  , -1,  0, -1,  0
cocker                  , -1,  0, -1,  0
cocket                  , -1,  0, -1,  0
cockie                  , -1,  0, -1,  0
cockle                  , -1,  0, -1,  0
cockly                  , -1,  0, -1,  0
cocksy                  , -1,  0, -1,  0
cockup                  , -1,  0, -1,  0
cocoon                  ,  0, -3,  0,  0
codego                  ,  0, -2,  0,  0
coecum                  ,  0,  0, -2,  0
commie                  ,  0,  1,  0,  0
condom                  ,  0,  0,  1,  0
cooner                  ,  0, -3,  0,  0
cpusys                  ,  0, -1, -1,  0
crapon                  , -1,  0,  0,  0
crappo                  , -1,  0,  0,  0
crapwa                  , -1,  0,  0,  0
cumber                  ,  0,  0, -2,  0
cumbha                  ,  0,  0, -2,  0
cumble                  ,  0,  0, -2,  0
cumbly                  ,  0,  0, -2,  0
cumbre                  ,  0,  0, -2,  0
cumene                  ,  0,  0, -2,  0
cumhal                  ,  0,  0, -2,  0
cummer                  ,  0,  0, -2,  0
cummin                  ,  0,  0, -2,  0
cumsha                  ,  0,  0, -2,  0
cumuli                  ,  0,  0, -2,  0
cuppen                  ,  0,  0, -1,  0
cyanus                  , -1,  0,  0,  0
damnam                  , -1,  0,  0,  0
damnat                  , -1,  0,  0,  0
damnav                  , -1,  0,  0,  0
damnba                  , -1,  0,  0,  0
damnbc                  , -1,  0,  0,  0
damnec                  , -1,  0,  0,  0
damned                  , -1,  0,  0,  0
damneo                  , -1,  0,  0,  0
damner                  , -1,  0,  0,  0
damnet                  , -1,  0,  0,  0
damnew                  , -1,  0,  0,  0
damnfl                  , -1,  0,  0,  0
damnhl                  , -1,  0,  0,  0
damnhs                  , -1,  0,  0,  0
damnii                  , -1,  0,  0,  0
damnil                  , -1,  0,  0,  0
damnit                  , -1,  0,  0,  0
damnon                  , -1,  0,  0,  0
damnor                  , -1,  0,  0,  0
damnot                  , -1,  0,  0,  0
damnov                  , -1,  0,  0,  0
damnow                  , -1,  0,  0,  0
damnsw                  , -1,  0,  0,  0
damnum                  , -1,  0,  0,  0
damnut                  , -1,  0,  0,  0
damnyc                  , -1,  0,  0,  0
danala                  , -1,  0, -1,  0
danali                  , -1,  0, -1,  0
danall                  , -1,  0, -1,  0
danalt                  , -1,  0, -1,  0
danusa                  , -1,  0,  0,  0
danusb                  , -1,  0,  0,  0
danusc                  , -1,  0,  0,  0
danusd                  , -1,  0,  0,  0
danuse                  , -1,  0,  0,  0
danusr                  , -1,  0,  0,  0
dawtit                  ,  0,  0, -2,  0
daygod                  ,  0, -2,  0,  0
daygot                  ,  0, -2,  0,  0
declit                  ,  0,  0, -2,  0
decrap                  , -1,  0,  0,  0
degass                  , -1,  0,  0,  0
degold                  ,  0, -2,  0,  0
denude                  ,  0,  0, -2,  0
dicker                  , -1,  0, -1,  0
dickey                  , -1,  0, -1,  0
dickie                  , -1,  0, -1,  0
dickty                  , -1,  0, -1,  0
dipped                  ,  0,  0, -1,  0
dipper                  ,  0,  0, -1,  0
dipppy                  ,  0,  0, -1,  0
dnazip                  ,  0, -1,  0,  0
doclit                  ,  0,  0, -2,  0
docrap                  , -1,  0,  0,  0
dongba                  ,  0,  0, -1,  0
dongbp                  ,  0,  0, -1,  0
dongcc                  ,  0,  0, -1,  0
dongdp                  ,  0,  0, -1,  0
dongel                  ,  0,  0, -1,  0
dongem                  ,  0,  0, -1,  0
dongen                  ,  0,  0, -1,  0
dongeo                  ,  0,  0, -1,  0
donget                  ,  0,  0, -1,  0
donghz                  ,  0,  0, -1,  0
dongif                  ,  0,  0, -1,  0
dongig                  ,  0,  0, -1,  0
dongis                  ,  0,  0, -1,  0
dongmc                  ,  0,  0, -1,  0
dongmt                  ,  0,  0, -1,  0
dongnu                  ,  0,  0, -1,  0
dongpl                  ,  0,  0, -1,  0
dongps                  ,  0,  0, -1,  0
dongsm                  ,  0,  0, -1,  0
dongst                  ,  0,  0, -1,  0
dongtk                  ,  0,  0, -1,  0
dongui                  ,  0,  0, -1,  0
dongun                  ,  0,  0, -1,  0
donguy                  ,  0,  0, -1,  0
dongym                  ,  0,  0, -1,  0
douche                  ,  1,  1,  1,  1
dpissl                  , -1,  0,  0,  0
drippy                  ,  0,  0, -1,  0
dsclit                  ,  0,  0, -2,  0
dudego                  ,  0, -2,  0,  0
dumbed                  ,  0,  0,  0, -1
dumber                  ,  0,  0,  0, -1
dumble                  ,  0,  0,  0, -1
dumbly                  ,  0,  0,  0, -1
earsea                  , -1,  0,  0,  0
earsec                  , -1,  0,  0,  0
earsee                  , -1,  0,  0,  0
earsen                  , -1,  0,  0,  0
earseo                  , -1,  0,  0,  0
earsep                  , -1,  0,  0,  0
earseq                  , -1,  0,  0,  0
earser                  , -1,  0,  0,  0
earset                  , -1,  0,  0,  0
ecoone                  ,  0, -3,  0,  0
ecoons                  ,  0, -3,  0,  0
efecks                  , -1,  0, -1,  0
effing                  ,  1,  0,  1,  0
elanus                  , -1,  0,  0,  0
entity                  ,  0,  0, -2,  0
erapee                  ,  0,  0, -1,  0
erapen                  ,  0,  0, -1,  0
erapet                  ,  0,  0, -1,  0
etclit                  ,  0,  0, -2,  0
etcrap                  , -1,  0,  0,  0
exacum                  ,  0,  0, -2,  0
fanusa                  , -1,  0,  0,  0
fanusb                  , -1,  0,  0,  0
fanusc                  , -1,  0,  0,  0
fanusd                  , -1,  0,  0,  0
fanuse                  , -1,  0,  0,  0
fanusr                  , -1,  0,  0,  0
fbichi                  ,  0, -1, -1,  0
fbicho                  ,  0, -1, -1,  0
fcclit                  ,  0,  0, -2,  0
fccrap                  , -1,  0,  0,  0
fecket                  , -1,  0, -1,  0
feckly                  , -1,  0, -1,  0
felate                  ,  0,  0,  2,  0
fittit                  ,  0,  0, -2,  0
flange                  ,  0,  0,  2,  0
freaky                  ,  0,  0,  0, -1
frigap                  , -1,  0, -1,  0
frigas                  , -1,  0, -1,  0
frigba                  , -1,  0, -1,  0
frigbp                  , -1,  0, -1,  0
frigcc                  , -1,  0, -1,  0
frigdp                  , -1,  0, -1,  0
frigel                  , -1,  0, -1,  0
frigem                  , -1,  0, -1,  0
frigen                  , -1,  0, -1,  0
frigeo                  , -1,  0, -1,  0
friget                  , -1,  0, -1,  0
fright                  , -1,  0, -1,  0
frighz                  , -1,  0, -1,  0
frigid                  , -1,  0, -1,  0
frigif                  , -1,  0, -1,  0
frigig                  , -1,  0, -1,  0
frigis                  , -1,  0, -1,  0
frigmc                  , -1,  0, -1,  0
frigmt                  , -1,  0, -1,  0
frignu                  , -1,  0, -1,  0
frigpl                  , -1,  0, -1,  0
frigps                  , -1,  0, -1,  0
frigsm                  , -1,  0, -1,  0
frigst                  , -1,  0, -1,  0
frigtk                  , -1,  0, -1,  0
frigui                  , -1,  0, -1,  0
frigun                  , -1,  0, -1,  0
